Cond,Prvlnc
Alcohol Abuse,0.0077
Alcohol Abuse,0.0306
Alcohol Abuse,0.0116
Alcohol Abuse,0.0167
Alcohol Abuse,0.0447
Alcohol Abuse,0.0244
Alcohol Abuse,0.0373
Alcohol Abuse,0.0908
Alcohol Abuse,0.0534
Alcohol Abuse,0.0307
Alcohol Abuse,0.0536
Alcohol Abuse,0.0401
Alcohol Abuse,0.0192
Alcohol Abuse,0.0615
Alcohol Abuse,0.0254
Alzheimer's Disease/Dementia,0.0833
Alzheimer's Disease/Dementia,0.0262
Alzheimer's Disease/Dementia,0.0734
Alzheimer's Disease/Dementia,0.0741
Alzheimer's Disease/Dementia,0.0301
Alzheimer's Disease/Dementia,0.062
Alzheimer's Disease/Dementia,0.0348
Alzheimer's Disease/Dementia,0.0838
Alzheimer's Disease/Dementia,0.1213
Alzheimer's Disease/Dementia,0.0247
Alzheimer's Disease/Dementia,0.0817
Alzheimer's Disease/Dementia,0.0919
Alzheimer's Disease/Dementia,0.0319
Alzheimer's Disease/Dementia,0.0831
Arthritis,0.1787
Arthritis,0.1074
Arthritis,0.1664
Arthritis,0.2274
Arthritis,0.2081
Arthritis,0.2221
Arthritis,0.3291
Arthritis,0.265
Arthritis,0.3097
Arthritis,0.2442
Arthritis,0.202
Arthritis,0.2269
Arthritis,0.296
Arthritis,0.2442
Arthritis,0.2884
Asthma,0.0311
Asthma,0.0498
Asthma,0.0343
Asthma,0.0363
Asthma,0.0654
Asthma,0.0443
Asthma,0.0455
Asthma,0.0901
Asthma,0.0589
Asthma,0.0422
Asthma,0.0783
Asthma,0.057
Asthma,0.0397
Asthma,0.0652
Asthma,0.0435
Atrial Fibrillation,0.0457
Atrial Fibrillation,0.0218
Atrial Fibrillation,0.0416
Atrial Fibrillation,0.046
Atrial Fibrillation,0.0191
Atrial Fibrillation,0.0386
Atrial Fibrillation,0.0765
Atrial Fibrillation,0.0204
Atrial Fibrillation,0.0596
Atrial Fibrillation,0.052
Atrial Fibrillation,0.0159
Atrial Fibrillation,0.0372
Atrial Fibrillation,0.0885
Atrial Fibrillation,0.0222
Atrial Fibrillation,0.0788
Autism Spectrum Disorders,0
Autism Spectrum Disorders,0.0227
Autism Spectrum Disorders,0.0039
Autism Spectrum Disorders,0
Autism Spectrum Disorders,0.0094
Autism Spectrum Disorders,0.0026
Autism Spectrum Disorders,0
Autism Spectrum Disorders,0.0129
Autism Spectrum Disorders,0.0039
Autism Spectrum Disorders,0.0063
Autism Spectrum Disorders,0.0003
Autism Spectrum Disorders,0.0149
Autism Spectrum Disorders,0.0024
COPD,0.0455
COPD,0.0341
COPD,0.0435
COPD,0.056
COPD,0.049
COPD,0.0541
COPD,0.125
COPD,0.1098
COPD,0.1204
COPD,0.086
COPD,0.0636
COPD,0.0768
COPD,0.0919
COPD,0.1017
